City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Necochea,AR,-38.5473,-58.7368,63.03,79,94,21.32,overcast clouds
329,Montepuez,MZ,-13.1256,38.9997,71.49,91,17,1.12,moderate rain
330,Jardinopolis,BR,-21.0178,-47.7639,74.12,88,100,4.79,overcast clouds
331,Eureka,US,40.8021,-124.1637,38.59,53,57,3.2,broken clouds
332,Upernavik,GL,72.7868,-56.1549,-6.72,93,100,4.76,overcast clouds
333,Praia,CV,14.9215,-23.5087,81.14,36,0,18.41,clear sky
334,Nyrob,RU,60.733,56.7202,17.04,88,100,7.52,overcast clouds
335,Altus,US,34.6381,-99.334,37.98,73,0,3.44,clear sky
336,Nioro,GM,13.35,-15.75,102.38,6,2,6.15,clear sky
337,Davila,PH,18.4726,120.5763,74.44,81,45,14.85,scattered clouds
338,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,31,0,10.36,clear sky
339,Bilma,NE,18.6853,12.9164,76.12,9,0,10.13,clear sky
340,Honningsvag,NO,70.9821,25.9704,29.95,69,40,25.32,scattered clouds
341,Westport,US,41.1415,-73.3579,26.89,61,58,1.01,broken clouds
342,Batemans Bay,AU,-35.7167,150.1833,64.09,88,96,7.7,overcast clouds
343,Haines Junction,CA,60.7522,-137.5108,22.86,93,94,8.03,overcast clouds
344,Corbelia,BR,-24.7989,-53.3067,82.9,45,43,9.95,scattered clouds
